track_artist,n_tracks,n_albums,playlist_reach,n_genres,n_subgenres,avg_popularity,max_popularity,std_popularity,latest_release,dominant_genre,dominant_subgenre,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,days_since_release,recency_score,campaign_lift_score,relevance_grade,artist_id
Nate57,3,3,2,1,1,27.0,49,24.879710609249457,2019-12-13,rap,gangster rap,0.8253333333333334,0.7433333333333333,-6.255,0.21276666666666666,0.433,0.00011086666666666667,0.17149999999999999,0.6536666666666666,129.02733333333333,38,0.9057071960297767,-0.1478563053040981,4,Nate57
Nath Jennings,2,2,1,1,1,21.0,25,5.656854249492381,2020-01-17,edm,big room,0.8400000000000001,0.7635000000000001,-6.868,0.2351,0.13325,0.42801934999999997,0.1932,0.4565,128.036,3,0.9918478260869564,0.7198024409852584,7,Nath Jennings
Nathan Aeli,2,1,1,1,1,17.5,18,0.7071067811865476,2019-09-28,rock,hard rock,0.3945,0.8215,-6.527,0.048549999999999996,9.39e-06,0.4255,0.256,0.319,112.4685,114,0.7620041753653445,-2.5812298605252506,0,Nathan Aeli
Nathan Kawanishi,2,2,2,1,1,50.0,56,8.48528137423857,2019-09-06,rap,hip hop,0.711,0.6625,-8.55,0.14250000000000002,0.5205,0.9139999999999999,0.1542,0.7885,81.003,136,0.7285429141716566,-1.1190860579255535,1,Nathan Kawanishi
Nathy Peluso,4,2,2,1,2,53.0,56,2.0000000000000004,2018-04-06,r&b,urban contemporary,0.60825,0.366,-8.828,0.37825000000000003,0.37350000000000005,0.00016790499999999999,0.27525,0.48975,76.0365,654,0.35819430814524045,-1.0363522236664091,2,Nathy Peluso
Natixx,3,2,3,2,2,25.666666666666668,26,0.5773502691896263,2020-01-10,edm,pop edm,0.6643333333333333,0.6443333333333333,-8.398000000000001,0.036899999999999995,0.021735333333333332,0.1868186666666667,0.152,0.18699999999999997,128.016,10,0.9733333333333333,-0.31522833496974545,4,Natixx
Natti Natasha,12,8,7,1,4,59.166666666666664,80,26.930325364585265,2019-10-04,latin,reggaeton,0.7926666666666667,0.7629166666666666,-3.8315,0.051491666666666665,0.27508333333333335,0.0015576066666666668,0.20679166666666668,0.7891666666666667,107.39416666666666,108,0.7716701902748414,0.893883367338967,7,Natti Natasha
Naughty Boy,2,2,2,2,2,51.0,67,22.627416997969522,2013-01-01,edm,pop edm,0.6855,0.732,-4.4275,0.05675,0.11249999999999999,0.002705565,0.14225,0.4635,135.06799999999998,2575,0.12414965986394558,1.151184999228675,8,Naughty Boy
Naughty By Nature,2,2,2,2,2,34.5,64,41.71930009000631,2011-12-13,r&b,new jack swing,0.819,0.8049999999999999,-8.951,0.09620000000000001,0.051734999999999996,0.0,0.238,0.716,98.483,2960,0.10977443609022555,0.5717511596416082,7,Naughty By Nature
Nazareth,6,4,5,1,3,11.666666666666666,58,22.826884734160874,2012-02-20,rock,hard rock,0.49633333333333335,0.6466666666666666,-6.7495,0.05801666666666666,0.005648333333333334,0.11783666666666666,0.16623333333333332,0.3085,114.30433333333333,2891,0.1121007371007371,-0.8157638176887699,2,Nazareth
Ne-Yo,10,5,6,3,6,33.7,77,34.10457773118181,2012-01-01,r&b,new jack swing,0.5939,0.5779,-7.198099999999999,0.17951999999999999,0.30979999999999996,1.27e-05,0.17170000000000002,0.5601,104.2767,2941,0.1104053236539625,-0.30334062282923346,4,Ne-Yo
Nea,4,2,4,3,4,67.5,81,9.0,2020-01-10,pop,big room,0.70625,0.6105,-5.77225,0.039875,0.47975,6.4e-07,0.16349999999999998,0.59825,116.27074999999999,10,0.9733333333333333,1.3833946388941576,8,Nea
Neelix,2,2,1,1,1,55.0,56,1.4142135623730951,2019-09-27,edm,big room,0.665,0.7849999999999999,-7.118499999999999,0.06725,0.0062,0.7195,0.2028,0.48150000000000004,140.0115,115,0.7604166666666667,-0.5492112200556629,3,Neelix
Nego do Borel,2,1,2,2,2,62.0,62,0.0,2019-10-25,edm,pop edm,0.721,0.827,-5.127,0.0536,0.335,0.0,0.311,0.951,149.977,87,0.8075221238938053,1.5782916614937115,9,Nego do Borel
Neil Sedaka,3,2,1,1,1,18.0,53,30.315012782448235,2007-04-24,rock,album rock,0.6586666666666666,0.6779999999999999,-8.472333333333333,0.0345,0.4346666666666667,0.0029666666666666665,0.11763333333333333,0.9026666666666667,122.03633333333335,4654,0.07272365012950786,-1.9542216661385936,0,Neil Sedaka
Neil Young,7,7,5,1,3,32.857142857142854,71,28.806414629549508,2019-10-25,rock,classic rock,0.531,0.5438571428571428,-10.20142857142857,0.029757142857142854,0.20566228571428574,0.017514414285714285,0.13617142857142858,0.5928571428571429,129.47385714285716,87,0.8075221238938053,0.4634136425076099,7,Neil Young
Nek,2,2,2,2,2,43.0,52,12.727922061357855,2019-07-05,latin,hip pop,0.41500000000000004,0.7090000000000001,-5.9005,0.09630000000000001,0.43805,0.0,0.483,0.4405,128.314,199,0.6471631205673759,0.7229782583560993,6,Nek
